GUID	|Time
1344	|1,883468
1345	|1,791036
1346	|1,749951
1347	|1,807055
1348	|1,815683
1349	|1,869168
1350	|1,77131
1351	|1,865062
1352	|1,914963
1353	|1,824224
1354	|1,848967
1355	|1,923948
1356	|1,906672
1357	|1,989542
1358	|1,890921
1359	|1,857279
1360	|1,873703
1361	|2,33896
1362	|2,077743
1363	|1,843574
1364	|1,948247
1365	|1,890485
1366	|1,840551
1367	|1,799916
1368	|1,765363
1369	|1,840519
1370	|1,783135
1371	|1,774071
1372	|1,774014
1373	|1,799238
1374	|1,873921
1375	|1,849181
1376	|1,906651
1377	|1,923657
1378	|2,078482
1379	|2,031258
1380	|2,09238
1381	|1,890355
1382	|1,874261
1383	|1,931736
1384	|1,882485
1385	|1,881576
1386	|1,90691
1387	|1,824157
1388	|1,840729
1389	|1,807238
1390	|1,865714
1391	|1,81672
1392	|1,82303
1393	|1,848864
1394	|1,724056
1395	|1,874769
1396	|1,856772
1397	|1,840662
1398	|1,898752
1399	|1,882301
1400	|1,857096
1401	|1,857151
1402	|1,857385
1403	|1,815768
1404	|1,815626
1405	|1,915235
1406	|1,741356
1407	|1,782422
1408	|1,773757
1409	|1,940897
1410	|1,783072
1411	|1,79042
1412	|1,840452
1413	|1,882719
1414	|1,82413
1415	|1,757106
1416	|1,848818
1417	|1,824484
1418	|1,965101
1419	|1,881778
1420	|1,882231
1421	|1,915185
1422	|1,807744
1423	|1,84865
1424	|1,816913
1425	|1,773388
1426	|1,948343
1427	|1,898631
1428	|1,940243
1429	|1,837952
1430	|1,976327
1431	|1,923372
1432	|1,898218
1433	|1,891056
1434	|1,915292
1435	|1,998358
1436	|2,338001
1437	|1,899194
1438	|1,964597
1439	|1,948771
1440	|1,939958
1441	|1,857191
1442	|1,84944
1443	|1,848518
1444	|1,832224
1445	|1,923986
1446	|1,740816
1447	|1,832203
1448	|1,840282
1449	|1,791283
1450	|1,799378
1451	|1,815725
1452	|1,774237
1453	|1,866141
1454	|1,935513
1455	|1,985733
1456	|1,823959
1457	|1,7911
1458	|1,783363
1459	|1,731968
1460	|1,824026
1461	|1,824785
1462	|1,815216
1463	|1,741881
1464	|1,765125
1465	|1,815884
1466	|1,890261
1467	|1,791475
1468	|1,799209
1469	|1,748908
1470	|1,848946
1471	|1,791002
1472	|1,758018
1473	|1,765521
1474	|2,338522
1475	|1,807518
1476	|1,799048
1477	|1,782516
1478	|1,840649
1479	|1,899418
1480	|1,848477
1481	|1,823876
1482	|1,832373
1483	|1,848876
1484	|1,807672
1485	|1,774265
1486	|1,757585
1487	|1,82417
1488	|1,791256
1489	|1,757142
1490	|1,757875
1491	|1,873774
1492	|1,865457
1493	|2,288624
1494	|1,841133
1495	|1,856909
1496	|1,882582
1497	|1,939175
1498	|1,824673
1499	|1,837951
1500	|1,793698
1501	|1,798843
1502	|1,86826
1503	|1,829641
1504	|1,757661
1505	|1,849489
1506	|1,840309
1507	|1,774202
1508	|1,8406
1509	|1,849026
1510	|1,906953
1511	|1,832793
1512	|2,171902
1513	|1,796976
1514	|1,832979
1515	|1,792457
1516	|1,807505
1517	|1,832557
1518	|1,865372
1519	|1,881489
1520	|1,824752
1521	|1,732851
1522	|1,782546
1523	|1,873806
1524	|1,824011
1525	|1,848949
1526	|1,832486
1527	|1,906779
1528	|1,840814
1529	|1,791058
1530	|1,832157
1531	|2,155737
1532	|1,81579
1533	|1,791555
1534	|1,782017
1535	|1,791456
1536	|1,790361
1537	|1,815856
1538	|1,79062
1539	|1,832703
1540	|1,90698
1541	|1,882098
1542	|1,807286
1543	|1,815725
1544	|1,807717
1545	|1,782504
1546	|1,832786
1547	|1,699374
1548	|1,757581
1549	|1,765881
1550	|2,412913
1551	|1,741724
1552	|1,749479
1553	|1,815104
1554	|1,923751
1555	|1,857284
1556	|1,824121
1557	|1,848747
1558	|1,907089
1559	|1,832345
1560	|1,840742
1561	|1,807464
1562	|1,816301
1563	|1,856659
1564	|1,699676
1565	|1,799225
1566	|1,824697
1567	|1,848185
1568	|1,824142
1569	|2,421235
1570	|1,857374
1571	|1,823964
1572	|1,848974
1573	|1,782917
1574	|1,765588
1575	|1,774288
1576	|1,831605
1577	|1,766709
1578	|1,732795
1579	|1,782591
1580	|1,807634
1581	|1,782854
1582	|1,749103
1583	|1,807859
1584	|1,816011
1585	|1,765611
1586	|1,757314
1587	|1,732942
1588	|1,823995
1589	|1,75768
1590	|1,824022
1591	|1,766124
1592	|1,841089
1593	|1,840207
1594	|1,824549
1595	|1,970264
1596	|1,868252
1597	|1,790858
1598	|1,899064
1599	|1,749192
1600	|1,815581
1601	|1,765406
1602	|1,808142
1603	|1,799112
1604	|1,824687
1605	|1,864879
1606	|1,890563
1607	|1,889829
1608	|1,799661
1609	|1,807847
1610	|1,749194
1611	|1,823803
1612	|1,84906
1613	|1,824022
1614	|1,766119
1615	|1,791175
1616	|1,831948
1617	|1,807725
1618	|1,807461
1619	|1,890321
1620	|1,865374
1621	|1,833406
1622	|1,765004
1623	|1,849458
1624	|1,790356
1625	|1,807497
1626	|1,757467
1627	|2,015146
1628	|1,857107
1629	|1,874129
1630	|1,732648
1631	|1,840574
1632	|1,774871
1633	|1,815284
1634	|1,898694
1635	|1,707898
1636	|1,75814
1637	|1,765467
1638	|1,725083
1639	|1,765512
1640	|1,741303
1641	|1,807469
1642	|1,832888
1643	|1,77372
1644	|1,782358
1645	|1,73296
1646	|1,79925
1647	|1,815843
1648	|1,741126
1649	|1,766005
1650	|1,799218
1651	|1,93987
1652	|1,774464
1653	|1,865862
1654	|1,86528
1655	|1,882121
1656	|1,857663
1657	|1,815407
1658	|1,740999
1659	|1,832203
